,0,1,2,3,4,5
0,POP,HISP,RACE,SEX,DATE_,state
1,68799,1,10,0,4,01
2,2878,2,10,0,4,01
3,31609,0,9,1,3,01
4,25955,1,9,1,3,01
5,1252,2,5,2,3,01
6,33119,0,6,2,3,01
7,1267587,0,2,0,4,01
8,1254306,1,2,0,4,01
9,7893,0,11,0,4,01
10,5654,2,9,1,3,01
11,30323,1,6,2,3,01
12,2796,2,6,2,3,01
13,13281,2,2,0,4,01
14,32918,0,3,0,4,01
15,4258,1,11,0,4,01
16,3635,2,11,0,4,01
17,32935,0,10,1,3,01
18,31367,1,10,1,3,01
19,1738457,0,7,2,3,01
20,26230,1,3,0,4,01
21,2328578,0,0,1,4,01
22,2223247,1,0,1,4,01
23,1568,2,10,1,3,01
24,4239,0,11,1,3,01
25,1667206,1,7,2,3,01
26,71251,2,7,2,3,01
27,6688,2,3,0,4,01
28,57727,0,4,0,4,01
29,105331,2,0,1,4,01
30,2003,1,11,1,3,01
31,688932,0,8,2,3,01
32,681483,1,8,2,3,01
33,56124,1,4,0,4,01
34,7021,2,2,1,4,01
35,16747,0,3,1,4,01
36,2236,2,11,1,3,01
37,2463252,0,0,2,3,01
38,7449,2,8,2,3,01
39,1603,2,4,0,4,01
40,5019,0,5,0,4,01
41,27264,0,4,1,4,01
42,2380666,1,0,2,3,01
43,82586,2,0,2,3,01
44,31447,0,9,2,3,01
45,27213,1,9,2,3,01
46,2054,1,5,0,4,01
47,2965,2,5,0,4,01
48,88449,2,1,1,4,01
49,590293,0,2,1,4,01
50,1709086,0,1,2,3,01
51,4234,2,9,2,3,01
52,36031,0,10,2,3,01
53,67718,0,6,0,4,01
54,12897,1,3,1,4,01
55,3850,2,3,1,4,01
56,1640174,1,1,2,3,01
57,68912,2,1,2,3,01
58,34716,1,10,2,3,01
59,61542,1,6,0,4,01
60,6176,2,6,0,4,01
61,1658179,0,1,1,4,01
62,1569730,1,1,1,4,01
63,673457,0,2,2,3,01
64,667363,1,2,2,3,01
65,1315,2,10,2,3,01
66,3705,0,11,2,3,01
67,3430689,0,7,0,4,01
68,3265237,1,7,0,4,01
69,583272,1,2,1,4,01
70,6094,2,2,2,3,01
71,2122,1,11,2,3,01
72,1583,2,11,2,3,01
73,165452,2,7,0,4,01
74,28529,1,6,1,3,01
75,3259,2,6,1,3,01
76,16094,0,3,2,3,01
77,13266,1,3,2,3,01
78,4801108,0,0,0,4,01
79,1299183,0,8,0,4,01
80,1282976,1,8,0,4,01
81,1684627,0,7,1,3,01
82,2828,2,3,2,3,01
83,29268,0,4,2,3,01
84,4610170,1,0,0,4,01
85,190938,2,0,0,4,01
86,16207,2,8,0,4,01
87,63678,0,9,0,4,01
88,1594700,1,7,1,3,01
89,89927,2,7,1,3,01
90,28564,1,4,2,3,01
91,3370139,0,1,0,4,01
92,3209914,1,1,0,4,01
93,53822,1,9,0,4,01
94,602204,0,8,1,3,01
95,704,2,4,2,3,01
96,2228,0,5,2,3,01
97,160225,2,1,0,4,01
98,9856,2,9,0,4,01
99,71677,0,10,0,4,01
100,593810,1,8,1,3,01
101,8394,2,8,1,3,01
102,976,1,5,2,3,01
103,104066,2,0,1,3,01
104,1656076,0,1,1,3,01
105,1568916,1,1,1,3,01
106,87160,2,1,1,3,01
107,4785161,0,0,0,3,01
108,4598509,1,0,0,3,01
109,5166,0,5,0,3,01
110,2023,1,5,0,3,01
111,587861,0,2,1,3,01
112,186652,2,0,0,3,01
113,3365162,0,1,0,3,01
